Name,Cat_H1,Cat_H2,Cat_H3,Geo,Comment,fail_satus,Lang,Tech_desc,Tech_desc_lang,Tech_applic,Tech_applic_lang,dataset_type,meanAmount,meanValue,Unit,Owner,ILCD,Emission_dict,Emission,Emission_kg
Rebars - Poland region 1,Bygg,"Stål-, aluminiumskonstruksjoner",,SE,"The underlying inventory is based on data from 2018 and specific inventory data from all reinforcement workshops has been used. For each region, an average value has been calculated taking into account quantities delivered from the region during 2018. For electrical steel manufacturing and hot rolling, the LCA calculations have been based either on data from EPDs (which are then classified as representative of the product), or data from the specific supplier, in the form of the percentage of secondary steel. For those steel mills that also reported energy use, these data have been used to parameterize an otherwise conservative general inventory process for the steel production and the hot rolling. These processes conservative process data are based on inventories from ecoinvent that have been made conservative with regard to average data from 2010 (i.e. the data is inherently older). Generally, in the inventory, specific transport distances have been used and representative utilisation rates and vehicles types. In all manufacturing processes, national electricity mixes have been used (module A1-A3). Apart from process data for electric arc furnace and hot rolling, inventory data from GABI is used. A weighted assessment of the proportion of product-specific data representative of the declared reinforcement is 95%, where EPD data is simplified classified as product-specific measured data). Product-specific data includes the following three types; 1) measured data, 2) literature data 3) conservative from generic databases. LCA data that cannot be considered representative and / or can prove to be conservative is called proxy data and constitutes the fourth class in the data quality classification above.  The allocation is made in accordance with the provisions of EN 15804. Incoming resource use is allocated equally among all products through mass allocation. Effects of primary production of recycled materials allocated to the main product in which the material was used.  All known raw materials and all the energy is included. ",No,en,"In Sweden, reinforcing steel is used according to the application standard SS 212540: 2014 and welded reinforcement is certified according to EN ISO 17 660-2: 2006. In Finland: SFS 1300: 2017, SFS 167, SFS1257, SFS 1268, EN 10080: 2005 and in Norway; NS EN 10080: 2006, NS 3576-3: 2012",en,"In general, it can be assumed that reinforcing steel has a Sweden, Norway, Finland density of 7.8 kg/dm3 . The EPD comprises an average of the following products produced from the respective rebar workshop: - Hot rolled straight steel/bars; diameter: 8-32 mm - C&B; cut and bent, diameter: 8-32 mm - Roll mesh; spinmaster and bamtech - Mesh; cold rolled welded reinforcing steel - Prefabricated reinforcement baskets",en,specific dataset,1.0,1.0,Kilogram,Skanska inköp Sverige AB,b088475f-d2b6-4f24-afb7-6b08c6b96535_00.03.001.xml,"{'A1-A3': 0.698, 'A4': 0.0421, 'A5': 0.000854, 'C1': 2.61e-06, 'C2': 2.47e-06, 'C3': 2.56e-06, 'C4': 0.0, 'D': 0.0}",0.698,0.698
Welded Steel Tubes,Bygg,"Stål-, aluminiumskonstruksjoner",,NO,"Data Quality:  General requirements and guidelines concerning use of generic and specific data and the quality of those are as described in EN 15804: 2012, clause 6.3.6 and 6.3.7. The data is representative according to temporal, geographical and technological requirements.  (Temporal:) Data for use in module A3 is supplied by the manufacturer and consists of the recorded amount of specific material and energy consumption for the product studied. Specific data has been collected for 2014. Generic data has been created or updated within the last 10 years. (Geographical:) The geographic region of the production sites included in the calculation is Norway (A3). Data for A1 represents Europe. (Technological:) Data represents technology in use. Data for module A1 consists of specific transportation data and comparable steel data from environmental product declarations for the steel input. For calculation and all other LCI data, GaBi 6.4 was used.   Allocation:  The allocation is made in accordance with the provisions o EN 15804. Incoming energy and water and waste productio in-house is allocated equally among all products through mas allocation if applicable.   Cut-Off Criteria:  All major raw materials and all the essential energy is included. The production process for raw materials and energy flows that are included with very small amounts (<1%) are not included. This cut-off rule does not apply for hazardous materials and substances.",No,en,See flow chart. ,en,"Steel tube piles are tubes made from hot rolled steel sections. The tube piles are rammed into place, either with a driving shoe or plug or with an open end. After ramming, tubes are normally emptied and reinforced using steel and concrete. Typical applications are foundations for dwellings, offices and commercial buildings as well as refurbishing existing foundations and lastly for civil infrastructure.  Standard dimensions are Ø 17mm-323.9mm, 1,2mm-16mm thickness with steel grades S235/S355J2/S355J0. Produced according to NS-EN 10025, tolerances according to NS-EN 10060 and certificates in accordance with NS-EN 100204-3.1.  The product is produced entirely from scrap, and comparable steel data with similar material composition and production method is used to model for the steel input. The recycled content given from the bakcground data is >99%. The actual product has a reported scrap content of 97,82%, taking alloys into account.",en,specific dataset,1.0,1.0,Kilogram,Ferrometall AS,5a42f0cf-a197-47a8-9770-30004d7ee584_00.02.019.xml,{'A1-A3': 0.368},0.368,0.368
weber V+ Fine plaster (weber V+ Hienotasoite),Bygg,Teknisk-kjemiske byggevareprodukter,,FI,Data quality: Specific data for the product composition are provided by the manufacturer. The data represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on EPDs according to EN 15804 and different LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ,No,en,"weber V+ Fine plaster is produced according to the requirements of EN 998-1:2010 (General purpose rendering/plastering mortar (GP)).  Material consumption: approx. 1.2 kg/m²/1 mm layer Recommended layer thickness: Partial levelling: maximum 5 mm, complete levelling: 1-3 mm/time. Recommended water content: approx. 5.6-6.4 l/20 kg.  More information: www.fi.weber/sisapinnat/hienot-seinatasoitteet/weber-v-hienotasoite",en,weber V+ Fine plaster is cement-bonded moisture-resistant base and surface levelling plaster for levelling interior walls and ceilings. It can be used in levelling of wall and ceiling surfaces in dry and humid spaces. Suitable substrates are stone material surfaces such as concrete and e.g. surfaces levelled with weber TT+ Filling plaster or weber 410 Thin render. The product gives smooth painting surface and a wear-resistance surface. It can be applied by hand or by spraying. Delivered in 20 kg bags. GTIN 06415910020903. The composition of the product is described in the following table:,en,specific dataset,1.0,1.0,Kilogram,Saint-Gobain Finland Oy,63d60e66-3948-4152-84df-5af9ab153cb0_00.04.001.xml,"{'A1-A3': 0.073461719016, 'A4': 0.018733205546, 'A5': 0.000814483443, 'C1': 5.367069708164, 'C2': 0.00272813673, 'C3': 0.0, 'C4': 0.0, 'D': -0.00024492827}",0.073461719016,0.07346172
weber concrete impregnation,Bygg,Teknisk-kjemiske byggevareprodukter,,SE,"Data quality: Specific data for the product composition are provided by the manufacturer. They represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on registered EPDs according to EN 15804, Ostfold Research databases, ecoinvent and other LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ",No,en,"weber concrete impregnation is tested and approved according to EN 1504-2.   For further information, see www.se.weber/",en,"weber concrete impregnation is a silane-based, hydrophobic concrete impregnation in liquid form, intended for both new and old concrete structures in the housing and civil engineering sector. The product meets the conditions according to EN 1504-2. Tested according to guidelines of NT BUILD 515, Edition 1, Hydrophobic impregnation for Concrete - prevents penetration of chlorides - filter effect. The product meets the conditions according to AMA Anläggning 17, LFB.311 The composition of the product is described in the following table:",en,specific dataset,1.0,1.0,Kilogram,"Saint-Gobain Sweden AB, Weber",bad2db35-6fcb-4c0c-9f94-1beb061d9042_00.03.001.xml,"{'A1-A3': 2.924528903939, 'A4': 0.02616462, 'A5': 0.000150865224}",2.924528903939,2.9245288
"SteelMaster 1200WF, Jotun Paints Malaysia Sdn. Bhd.",Bygg,Maling,,MY,"Data quality: The CEPE database is used as basis for the raw material composition. Specific data for the product composition and raw material amounts has been provided by the manufacturer and represents the production of the declared product. Production site data was collected in 2015. Representative data from ecoinvent v3.2 was used for other processes. The data quality for the material input in A1 is presented in tabular form.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy, water and waste production in-house is primarily allocated equally among all products through mass allocation. Specific allocation was performed for certain waste flows according to information provided by the site manager. VOC emissions have been allocated entirely to the production of solvent based paints. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.   Cut-off criteria: All major raw materials and essential energy is included. The production process for raw materials and energy flows with very small amounts (less than 0.1 % dry matter) are not included. In total, more than 99% of the material input is included. These cut-off criteria do not apply for non-energy related emissions (such as wastes, hazardous materials and substances). ",No,en,"Density: 1.4 kg/l Solids by volume: 69 ± 3 volume%  Dry film thickness: 210 - 690 µm  Wet film thickness: 300 - 1000 µm  The most representative and worst case formulation produced at the manufacturing site is chosen for this EPD. For products with a selection of colours, this will be the formulation with the highest content of titanium dioxide.  The product packaging is based on an average sized metal packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com.   For information on technical data, application and use of the product, see the Technical Data Sheet and Application Guide for the declared product on www.jotun.com. ",en,"SteelMaster 1200WF is a one component waterborne acrylic thin film intumescent coating. Independently approved for fire protection of structural steel exposed to cellulosic fire. It can be used as mid coat or finish coat in atmospheric environments. This product is suitable on approved primers on carbon steel substrates.  The declared product is specially designed as a reactive fire protection system for steel constructions. It is designed to protect for up to 180 minutes on a wide range of I section beams, columns and hollows. The product is fire tested and approved to BS 476 part 20/21 and EN13381-8. This product is suitable for structural steel exposed to internal environments. For a detailed coating specification please contact your local Jotun representative. For information on Green Building Standard credits, see ""Additional Information"" on page 4.  The material composition of the declared product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,8028269c-1094-4366-98a5-e70d5913191d_00.10.001.xml,"{'A1': 3.192324265095, 'A2': 0.109210607022, 'A3': 0.077095788079, 'A1-A3': 3.378630660196}",3.378630660196,3.3786306
weber OL 15 Thin layer masonry mortar (weber OL 15 Ohutsaumalaasti),Bygg,Teknisk-kjemiske byggevareprodukter,,FI,Data quality: Specific data for the product composition are provided by the manufacturer. The data represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on EPDs according to EN 15804 and different LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ,No,en,weber OL 15 Thin layer masonry mortar is produced according to the requirements of SFS-EN 998-2:2016 (Designed masonry mortar (thin layer masonry mortar) for internal and external applications in structural masonry).  Material consumption: see Product datasheet Recommended water content: 5-6 l/25 kg (0.20-0.24 l/kg)  More information: www.fi.weber/muuraus-ja-rakennelaastit/varilliset-ja-erikoismuurauslaastit/weber-ol-15-ohutsaumalaasti,en,"weber OL 15 Thin layer masonry mortar is light-coloured dry mortar for thin-joint masonry. It can be applied by hand or with a watering can. The product is suitable for a calcium silicate masonry units, Leca® Easylex partition blocks and aerated masonry units with a joint thickness of approx. 2 mm. Compressive strength class M15. Available in 25 kg bags. GTIN 6415910021313.",en,specific dataset,1.0,1.0,Kilogram,Saint-Gobain Finland Oy,64d0c0a5-e6cf-45fc-b547-37172ee59df0_00.03.001.xml,"{'A1-A3': 0.382344627508, 'A4': 0.015550379361, 'A5': 0.00078682291, 'C1': 5.367069708164, 'C2': 0.00272813673, 'C3': 0.0, 'C4': 0.0, 'D': -0.002204354427}",0.382344627508,0.38234463
Kemiitti 810 ,Bygg,Eksplosiver,,FI,"Specific data is used to model A4 transportation, detonation stage and production operations at Karlskoga and Gällivare plants. Specific data represent year 2018. Locations of raw material suppliers and A2 transportation of raw materials are partly modelled based on specific data. Generic data is used to model the production of raw materials, energy etc. (background processes). Generic data is mainly from Gabi Professional database. Ecoinvent database and literature sources are also used to fill data gaps. Characterization factors are based on EN 15804:2012. Ozone depletion potential result is deemed the most uncertain of the assessed environmental impact results due to the usage of secondary data that includes CFCs. Data used is not older than 10 years.   Allocation is conducted in accordance with the provisions of EN 15804. Energy and water inputs, and municipal waste generated are allocated equally among all products manufactured at the production plant through mass allocation. Influence of primary production of a recycled material is allocated to the main product for which the material was used. The recycling process and transportation of the material is allocated to this analysis.  All major raw material and energy inputs are included. Production processes of specific raw materials and energy flows that are used in minor quantities (<1% of total mass input or energy use of a unit process) are not included in the assessment. This cutoff rule does not apply for hazardous materials and substances ",No,en," 1 kg of bulk explosive. EC-type examination certificates: CE0589 (BAM, Germany), PvTT 095/02",en,"Kemiitti 810 is a bulk emulsion explosive used for underground excavations, tunnelling and mining. Kemiitti 810 consists of two semi-finished components; matrix and gassing agent. Both components are produced at Forcit factory in Vihtavuori, Finland. The semi-finished components (matrix and gassing agent) are transported to customer sites where the finished bulk emulsion explosive is manufactured and charged into boreholes by use of mobile underground charging units.  Energy content of Kemiitti 810: 3.0 MJ/kg",en,specific dataset,1.0,1.0,Kilogram,Oy Forcit Ab,f8086989-6aca-4833-83f7-901c27a6d24a_00.03.001.xml,"{'A1-A3': 0.996, 'A4': 0.123, 'A5': 0.132}",0.996,0.996
"Jotamastic 80 E, Jotun Paints (Vietnam) Co. Ltd.",Bygg,Maling,,VN,Data quality: Specific data for the product composition are provided by the manufacturer. The data represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on EPDs according to EN 15804 and different LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ,No,en,"Product mixing ratio: Jotamastic 80 E Comp A: 7 parts  Jotamastic 80 STD Comp B: 1 part  Density: 1.5 g/cm³ Solids by volume: 80 ± 2 volume%  Film thickness per coat: Dry film thickness: 75 - 200 µm Wet film thickness: 95 - 250 µm  Theoretical spreading rate: 10.7 - 4 m²/l  The most representative and worst case formulation produced at the manufacturing site is chosen for this EPD. For products with a selection of colours, this will be the formulation with the highest content of titanium dioxide. The product packaging is based on an average sized metal packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com. For information on technical data, application and use of the product, see the Technical Data Sheet for the declared product on www.jotun.com.",en,"Jotamastic 80 E is a two component polyamine cured epoxy mastic coating. This product contains no solvents on the Hazardous Air Pollutants (HAPs) list. It is a surface tolerant, high solids product, specially designed for areas where optimum surface preparation is not possible or required. The declared product can be used as primer, mid coat, finish coat or as single coat system in atmospheric and immersed environments. It is suitable for properly prepared carbon steel and aged coating surfaces.   Jotamastic 80 E is primarily designed for maintenance and repair. Only aluminium containing versions to be used in immersed environments. Marine: outside hulls, exterior and interior areas. Protective: recommended for offshore environments, refineries, power plants, bridges, buildings, mining equipment and general structural steel. For information on Green Building Standard credits, see subchapter ""Additional technical information"".  The material composition of the declared mixed product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,7373811a-03c6-4488-b35e-3a3a6785864b_00.06.000.xml,"{'A1-A3': 3.754056543836, 'A4': 0.043698448579, 'C1': 0.0, 'C2': 0.003908876622, 'C3': 0.0, 'C4': 0.004427032756, 'D': 0.0}",3.754056543836,3.7540565
weber supra rapid light fix,Bygg,Sement,,FI,"Data quality: Specific data for the product composition are provided by the manufacturer. They represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on registered EPDs according to EN 15804, Ostfold Research databases, ecoinvent and other LCA databases. The data quality of the raw materials in A1 is presented in the table below. Plant manufacturing data is collected for 2017. Raw materials and production volumes are based on the data from September - December 2018 and production plans for the 2019. The whole year data is not available, since products are new.   Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. Machines and facilities (capital goods) required for and during production are excluded, as is transportation of employees. ",No,en,"Weber supra rapid light fix is designed, produced and CE marked according to EN 12004:2007 + A1:2012 Adhesives for tiles. Requirements, evaluation of conformity, classification and designation. ",en,"Weber supra rapid light fix is a fast-setting low dust cementitious tile adhesive for attaching ceramic tiles and glass mosaic and suitable natural stones and marble. Weber supra rapid light fix is suitable for following applications: - wall tiling - bathroom, toilet and laundry room tiling - kitchen interspace wall tiling - glass mosaic and natural stone. Weber supra rapid light fix is fast setting, anti-sagging, light weight and white.  The composition of the product is described in the following table:",en,specific dataset,1.0,1.0,Kilogram,Saint-Gobain Finland Oy,ce7b8782-5ba0-4f93-8921-bc2dd0ada36d_00.06.001.xml,"{'A1': 0.402948447913, 'A2': 0.078317033557, 'A3': 0.003723244423, 'A4': 0.02616462, 'A1-A3': 0.48498872589299996}",0.4849887258929999,0.48498872
"Jotafloor SF PR 150, Jotun U.A.E. Ltd. (L.L.C.)",Bygg,Maling,,AE,"Data quality: The CEPE database is used as basis for the raw material composition. Specific data for the product composition and raw material amounts has been provided by the manufacturer and represents the production of the declared product. Production site data was collected in 2015. Representative data from ecoinvent v3.2 was used for other processes. The data quality for the material input in A1 is presented in tabular form.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy, water and waste production in-house is primarily allocated equally among all products through mass allocation. Specific allocation was performed for certain waste flows according to information provided by the site manager. VOC emissions have been allocated entirely to the production of solvent based paints. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.   Cut-off criteria: All major raw materials and essential energy is included. The production process for raw materials and energy flows with very small amounts (less than 0.1 % dry matter) are not included. In total, more than 99% of the material input is included. These cut-off criteria do not apply for non-energy related emissions (such as wastes, hazardous materials and substances). ",No,en,"Product mixing ratio (by volume): Jotafloor SF PR 150 Comp A:3 part(s) Jotafloor SF PR 150 Comp B:1 part(s)   Density comp A: 1.04 g/cm³ Density comp B: 1.02 g/cm³ Solids by volume: 98 ± 2 volume%   Dry film thickness: 150 - 300 um.  Wet film thickness: 150 - 300 um.  Theoretical spreading rate: 6.7 - 3.3 m²/l.   This EPD applies to a clear coat formulation.  The product packaging is based on an average sized metal packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com.  For information on technical data, application and use of the product, see the Technical Data Sheet for the declared product on www.jotun.com.",en,"Jotafloor SF PR 150 is a two component amine cured epoxy coating. It ensures very good adhesion on most concrete floors in atmospheric environments only.   The declared product is a primer for all Jotafloor products. Specially designed for use with the traffic deck system for heavy duty traffic, areas such as ramps, car parks, parking bays, pedestrian walkways, roof decks and industrial floors.   This product when used with Jotafloor Non Slip Aggregates, is suitable for filling and repairing of cracks, undulations and surface imperfections.  For information on Green Building Standard credits, see ""Additional Information"" on page 4.  The material composition of the declared product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,df6578e4-5c06-4c38-b63c-cfd1036a2705_00.08.001.xml,{'A1-A3': 6.90311568256},6.90311568256,6.9031157
